trial,class,flips,ns,seed,kem,decap_rc
151,flipped,4,14250,123,kyber1024,0
152,flipped,4,14333,123,kyber1024,0
153,flipped,4,14292,123,kyber1024,0
154,flipped,4,14292,123,kyber1024,0
155,flipped,4,14250,123,kyber1024,0
156,flipped,4,14250,123,kyber1024,0
157,flipped,4,14250,123,kyber1024,0
158,flipped,4,14291,123,kyber1024,0
159,flipped,4,14291,123,kyber1024,0
160,flipped,4,14334,123,kyber1024,0
161,flipped,4,14250,123,kyber1024,0
162,flipped,4,14292,123,kyber1024,0
163,flipped,4,14334,123,kyber1024,0
164,flipped,4,14292,123,kyber1024,0
165,flipped,4,14250,123,kyber1024,0
166,flipped,4,14291,123,kyber1024,0
167,flipped,4,14292,123,kyber1024,0
168,flipped,4,14375,123,kyber1024,0
169,flipped,4,14250,123,kyber1024,0
170,flipped,4,14292,123,kyber1024,0
171,flipped,4,14291,123,kyber1024,0
172,flipped,4,14250,123,kyber1024,0
173,flipped,4,14292,123,kyber1024,0
174,flipped,4,14250,123,kyber1024,0
175,flipped,4,14250,123,kyber1024,0
176,flipped,4,14292,123,kyber1024,0
177,flipped,4,14291,123,kyber1024,0
178,flipped,4,14334,123,kyber1024,0
179,flipped,4,14292,123,kyber1024,0
180,flipped,4,14250,123,kyber1024,0
181,flipped,4,14250,123,kyber1024,0
182,flipped,4,14292,123,kyber1024,0
183,flipped,4,14250,123,kyber1024,0
184,flipped,4,14250,123,kyber1024,0
185,flipped,4,14291,123,kyber1024,0
186,flipped,4,14250,123,kyber1024,0
187,flipped,4,14292,123,kyber1024,0
188,flipped,4,14292,123,kyber1024,0
189,flipped,4,14250,123,kyber1024,0
190,flipped,4,14292,123,kyber1024,0
191,flipped,4,14292,123,kyber1024,0
192,flipped,4,14291,123,kyber1024,0
193,flipped,4,14250,123,kyber1024,0
194,flipped,4,14292,123,kyber1024,0
195,flipped,4,14250,123,kyber1024,0
196,flipped,4,14250,123,kyber1024,0
197,flipped,4,14291,123,kyber1024,0
198,flipped,4,14250,123,kyber1024,0
199,flipped,4,14250,123,kyber1024,0
200,flipped,4,14250,123,kyber1024,0
201,flipped,4,14250,123,kyber1024,0
202,flipped,4,14292,123,kyber1024,0
203,flipped,4,17875,123,kyber1024,0
204,flipped,4,14917,123,kyber1024,0
205,flipped,4,14667,123,kyber1024,0
206,flipped,4,14709,123,kyber1024,0
207,flipped,4,14625,123,kyber1024,0
208,flipped,4,14417,123,kyber1024,0
209,flipped,4,14500,123,kyber1024,0
210,flipped,4,14292,123,kyber1024,0
211,flipped,4,14334,123,kyber1024,0
212,flipped,4,14292,123,kyber1024,0
213,flipped,4,14333,123,kyber1024,0
214,flipped,4,14250,123,kyber1024,0
215,flipped,4,14292,123,kyber1024,0
216,flipped,4,14416,123,kyber1024,0
217,flipped,4,14250,123,kyber1024,0
218,flipped,4,14291,123,kyber1024,0
219,flipped,4,14375,123,kyber1024,0
220,flipped,4,14250,123,kyber1024,0
221,flipped,4,14292,123,kyber1024,0
222,flipped,4,14292,123,kyber1024,0
223,flipped,4,14292,123,kyber1024,0
224,flipped,4,14333,123,kyber1024,0
225,flipped,4,14292,123,kyber1024,0
226,flipped,4,14375,123,kyber1024,0
227,flipped,4,14375,123,kyber1024,0
228,flipped,4,14375,123,kyber1024,0
229,flipped,4,14334,123,kyber1024,0
230,flipped,4,14417,123,kyber1024,0
231,flipped,4,14334,123,kyber1024,0
232,flipped,4,14291,123,kyber1024,0
233,flipped,4,14250,123,kyber1024,0
234,flipped,4,14292,123,kyber1024,0
235,flipped,4,14375,123,kyber1024,0
236,flipped,4,14334,123,kyber1024,0
237,flipped,4,14292,123,kyber1024,0
238,flipped,4,14250,123,kyber1024,0
239,flipped,4,14334,123,kyber1024,0
240,flipped,4,14208,123,kyber1024,0
241,flipped,4,14291,123,kyber1024,0
242,flipped,4,14333,123,kyber1024,0
243,flipped,4,41292,123,kyber1024,0
244,flipped,4,20041,123,kyber1024,0
245,flipped,4,14542,123,kyber1024,0
246,flipped,4,14334,123,kyber1024,0
247,flipped,4,15750,123,kyber1024,0
248,flipped,4,14250,123,kyber1024,0
249,flipped,4,14250,123,kyber1024,0
250,flipped,4,14333,123,kyber1024,0
251,flipped,4,14291,123,kyber1024,0
252,flipped,4,14333,123,kyber1024,0
253,flipped,4,14333,123,kyber1024,0
254,flipped,4,14292,123,kyber1024,0
255,flipped,4,14375,123,kyber1024,0
256,flipped,4,14333,123,kyber1024,0
257,flipped,4,14291,123,kyber1024,0
258,flipped,4,14334,123,kyber1024,0
259,flipped,4,14209,123,kyber1024,0
260,flipped,4,14250,123,kyber1024,0
261,flipped,4,14250,123,kyber1024,0
262,flipped,4,14333,123,kyber1024,0
263,flipped,4,14333,123,kyber1024,0
264,flipped,4,14250,123,kyber1024,0
265,flipped,4,14458,123,kyber1024,0
266,flipped,4,14334,123,kyber1024,0
267,flipped,4,14292,123,kyber1024,0
268,flipped,4,14292,123,kyber1024,0
269,flipped,4,14292,123,kyber1024,0
270,flipped,4,14375,123,kyber1024,0
271,flipped,4,14292,123,kyber1024,0
272,flipped,4,14334,123,kyber1024,0
273,flipped,4,14250,123,kyber1024,0
274,flipped,4,14292,123,kyber1024,0
275,flipped,4,14291,123,kyber1024,0
276,flipped,4,14291,123,kyber1024,0
277,flipped,4,14334,123,kyber1024,0
278,flipped,4,14334,123,kyber1024,0
279,flipped,4,14334,123,kyber1024,0
280,flipped,4,14292,123,kyber1024,0
281,flipped,4,76333,123,kyber1024,0
282,flipped,4,41208,123,kyber1024,0
283,flipped,4,124375,123,kyber1024,0
284,flipped,4,32333,123,kyber1024,0
285,flipped,4,55500,123,kyber1024,0
286,flipped,4,92708,123,kyber1024,0
287,flipped,4,49917,123,kyber1024,0
288,flipped,4,14458,123,kyber1024,0
289,flipped,4,14250,123,kyber1024,0
290,flipped,4,36458,123,kyber1024,0
291,flipped,4,14500,123,kyber1024,0
292,flipped,4,14375,123,kyber1024,0
293,flipped,4,54417,123,kyber1024,0
294,flipped,4,46792,123,kyber1024,0
295,flipped,4,14666,123,kyber1024,0
296,flipped,4,14292,123,kyber1024,0
297,flipped,4,14417,123,kyber1024,0
298,flipped,4,14334,123,kyber1024,0
299,flipped,4,14292,123,kyber1024,0
300,flipped,4,14250,123,kyber1024,0
301,flipped,4,14291,123,kyber1024,0
302,flipped,4,25958,123,kyber1024,0
303,flipped,4,14375,123,kyber1024,0
304,flipped,4,14292,123,kyber1024,0
305,flipped,4,14541,123,kyber1024,0
306,flipped,4,23458,123,kyber1024,0
307,flipped,4,14417,123,kyber1024,0
308,flipped,4,14375,123,kyber1024,0
309,flipped,4,14250,123,kyber1024,0
310,flipped,4,14334,123,kyber1024,0
311,flipped,4,14250,123,kyber1024,0
312,flipped,4,14250,123,kyber1024,0
313,flipped,4,14417,123,kyber1024,0
314,flipped,4,23000,123,kyber1024,0
315,flipped,4,41167,123,kyber1024,0
316,flipped,4,14333,123,kyber1024,0
317,flipped,4,14333,123,kyber1024,0
318,flipped,4,14375,123,kyber1024,0
319,flipped,4,14292,123,kyber1024,0
320,flipped,4,14250,123,kyber1024,0
321,flipped,4,14292,123,kyber1024,0
322,flipped,4,14542,123,kyber1024,0
323,flipped,4,14375,123,kyber1024,0
324,flipped,4,14208,123,kyber1024,0
325,flipped,4,14375,123,kyber1024,0
326,flipped,4,14292,123,kyber1024,0
327,flipped,4,14291,123,kyber1024,0
328,flipped,4,14250,123,kyber1024,0
329,flipped,4,14333,123,kyber1024,0
330,flipped,4,14334,123,kyber1024,0
331,flipped,4,14292,123,kyber1024,0
332,flipped,4,14250,123,kyber1024,0
333,flipped,4,14292,123,kyber1024,0
334,flipped,4,14250,123,kyber1024,0
335,flipped,4,14250,123,kyber1024,0
336,flipped,4,14208,123,kyber1024,0
337,flipped,4,14292,123,kyber1024,0
338,flipped,4,14625,123,kyber1024,0
339,flipped,4,14709,123,kyber1024,0
340,flipped,4,14417,123,kyber1024,0
341,flipped,4,14542,123,kyber1024,0
342,flipped,4,14459,123,kyber1024,0
343,flipped,4,14500,123,kyber1024,0
344,flipped,4,14500,123,kyber1024,0
345,flipped,4,14417,123,kyber1024,0
346,flipped,4,14416,123,kyber1024,0
347,flipped,4,14334,123,kyber1024,0
348,flipped,4,14583,123,kyber1024,0
349,flipped,4,14416,123,kyber1024,0
350,flipped,4,14500,123,kyber1024,0
351,flipped,4,14542,123,kyber1024,0
352,flipped,4,14417,123,kyber1024,0
353,flipped,4,14500,123,kyber1024,0
354,flipped,4,14458,123,kyber1024,0
355,flipped,4,14625,123,kyber1024,0
356,flipped,4,14583,123,kyber1024,0
357,flipped,4,14375,123,kyber1024,0
358,flipped,4,14458,123,kyber1024,0
359,flipped,4,14417,123,kyber1024,0
360,flipped,4,14458,123,kyber1024,0
361,flipped,4,14333,123,kyber1024,0
362,flipped,4,14292,123,kyber1024,0
363,flipped,4,14333,123,kyber1024,0
364,flipped,4,14417,123,kyber1024,0
365,flipped,4,14375,123,kyber1024,0
366,flipped,4,14458,123,kyber1024,0
367,flipped,4,14292,123,kyber1024,0
368,flipped,4,14375,123,kyber1024,0
369,flipped,4,14292,123,kyber1024,0
370,flipped,4,14375,123,kyber1024,0
371,flipped,4,14291,123,kyber1024,0
372,flipped,4,14417,123,kyber1024,0
373,flipped,4,14417,123,kyber1024,0
374,flipped,4,14292,123,kyber1024,0
375,flipped,4,14375,123,kyber1024,0
376,flipped,4,14458,123,kyber1024,0
377,flipped,4,14416,123,kyber1024,0
378,flipped,4,14333,123,kyber1024,0
379,flipped,4,18208,123,kyber1024,0
380,flipped,4,15042,123,kyber1024,0
381,flipped,4,14833,123,kyber1024,0
382,flipped,4,14833,123,kyber1024,0
383,flipped,4,14625,123,kyber1024,0
384,flipped,4,14375,123,kyber1024,0
385,flipped,4,14333,123,kyber1024,0
386,flipped,4,14291,123,kyber1024,0
387,flipped,4,14291,123,kyber1024,0
388,flipped,4,14292,123,kyber1024,0
389,flipped,4,14250,123,kyber1024,0
390,flipped,4,14292,123,kyber1024,0
391,flipped,4,14250,123,kyber1024,0
392,flipped,4,14292,123,kyber1024,0
393,flipped,4,14375,123,kyber1024,0
394,flipped,4,14292,123,kyber1024,0
395,flipped,4,14417,123,kyber1024,0
396,flipped,4,14417,123,kyber1024,0
397,flipped,4,14416,123,kyber1024,0
398,flipped,4,14334,123,kyber1024,0
399,flipped,4,14250,123,kyber1024,0
400,flipped,4,14292,123,kyber1024,0
401,flipped,4,14334,123,kyber1024,0
402,flipped,4,14250,123,kyber1024,0
403,flipped,4,14291,123,kyber1024,0
404,flipped,4,14375,123,kyber1024,0
405,flipped,4,14250,123,kyber1024,0
406,flipped,4,14292,123,kyber1024,0
407,flipped,4,14250,123,kyber1024,0
408,flipped,4,15125,123,kyber1024,0
409,flipped,4,14542,123,kyber1024,0
410,flipped,4,14333,123,kyber1024,0
411,flipped,4,14291,123,kyber1024,0
412,flipped,4,14375,123,kyber1024,0
413,flipped,4,14458,123,kyber1024,0
414,flipped,4,14375,123,kyber1024,0
415,flipped,4,14542,123,kyber1024,0
416,flipped,4,14417,123,kyber1024,0
417,flipped,4,14458,123,kyber1024,0
418,flipped,4,14375,123,kyber1024,0
419,flipped,4,14500,123,kyber1024,0
420,flipped,4,14375,123,kyber1024,0
421,flipped,4,14541,123,kyber1024,0
422,flipped,4,14375,123,kyber1024,0
423,flipped,4,14459,123,kyber1024,0
424,flipped,4,14375,123,kyber1024,0
425,flipped,4,14916,123,kyber1024,0
426,flipped,4,14750,123,kyber1024,0
427,flipped,4,14375,123,kyber1024,0
428,flipped,4,14375,123,kyber1024,0
429,flipped,4,14500,123,kyber1024,0
430,flipped,4,14334,123,kyber1024,0
431,flipped,4,14458,123,kyber1024,0
432,flipped,4,28250,123,kyber1024,0
433,flipped,4,15500,123,kyber1024,0
434,flipped,4,14375,123,kyber1024,0
435,flipped,4,14958,123,kyber1024,0
436,flipped,4,14375,123,kyber1024,0
437,flipped,4,14333,123,kyber1024,0
438,flipped,4,14250,123,kyber1024,0
439,flipped,4,15041,123,kyber1024,0
440,flipped,4,14292,123,kyber1024,0
441,flipped,4,14208,123,kyber1024,0
442,flipped,4,14333,123,kyber1024,0
443,flipped,4,14291,123,kyber1024,0
444,flipped,4,14334,123,kyber1024,0
445,flipped,4,14167,123,kyber1024,0
446,flipped,4,14334,123,kyber1024,0
447,flipped,4,14292,123,kyber1024,0
448,flipped,4,14208,123,kyber1024,0
449,flipped,4,14208,123,kyber1024,0
450,flipped,4,14292,123,kyber1024,0
451,flipped,4,14333,123,kyber1024,0
452,flipped,4,14250,123,kyber1024,0
453,flipped,4,14291,123,kyber1024,0
454,flipped,4,14958,123,kyber1024,0
455,flipped,4,14250,123,kyber1024,0
456,flipped,4,15458,123,kyber1024,0
457,flipped,4,14334,123,kyber1024,0
458,flipped,4,14500,123,kyber1024,0
459,flipped,4,14375,123,kyber1024,0
460,flipped,4,14334,123,kyber1024,0
461,flipped,4,15541,123,kyber1024,0
462,flipped,4,14250,123,kyber1024,0
463,flipped,4,14250,123,kyber1024,0
