trial,class,flips,ns,seed,kem,decap_rc
158,clean,0,14500,123,kyber1024,0
159,clean,0,14541,123,kyber1024,0
160,clean,0,14417,123,kyber1024,0
161,clean,0,14458,123,kyber1024,0
162,clean,0,14416,123,kyber1024,0
163,clean,0,14416,123,kyber1024,0
164,clean,0,14417,123,kyber1024,0
165,clean,0,14333,123,kyber1024,0
166,clean,0,14416,123,kyber1024,0
167,clean,0,14250,123,kyber1024,0
168,clean,0,14416,123,kyber1024,0
169,clean,0,14416,123,kyber1024,0
170,clean,0,14375,123,kyber1024,0
171,clean,0,14333,123,kyber1024,0
172,clean,0,14542,123,kyber1024,0
173,clean,0,14334,123,kyber1024,0
174,clean,0,14375,123,kyber1024,0
175,clean,0,14417,123,kyber1024,0
176,clean,0,14417,123,kyber1024,0
177,clean,0,14375,123,kyber1024,0
178,clean,0,14375,123,kyber1024,0
179,clean,0,14417,123,kyber1024,0
180,clean,0,14334,123,kyber1024,0
181,clean,0,14542,123,kyber1024,0
182,clean,0,14541,123,kyber1024,0
183,clean,0,14417,123,kyber1024,0
184,clean,0,14542,123,kyber1024,0
185,clean,0,14375,123,kyber1024,0
186,clean,0,14375,123,kyber1024,0
187,clean,0,14459,123,kyber1024,0
188,clean,0,14584,123,kyber1024,0
189,clean,0,14375,123,kyber1024,0
190,clean,0,14375,123,kyber1024,0
191,clean,0,14416,123,kyber1024,0
192,clean,0,55167,123,kyber1024,0
193,clean,0,15125,123,kyber1024,0
194,clean,0,14375,123,kyber1024,0
195,clean,0,117667,123,kyber1024,0
196,clean,0,22542,123,kyber1024,0
197,clean,0,63250,123,kyber1024,0
198,clean,0,59959,123,kyber1024,0
199,clean,0,55792,123,kyber1024,0
200,clean,0,14541,123,kyber1024,0
201,clean,0,42292,123,kyber1024,0
202,clean,0,37041,123,kyber1024,0
203,clean,0,14458,123,kyber1024,0
204,clean,0,14375,123,kyber1024,0
205,clean,0,14291,123,kyber1024,0
206,clean,0,14292,123,kyber1024,0
207,clean,0,14375,123,kyber1024,0
208,clean,0,14334,123,kyber1024,0
209,clean,0,14416,123,kyber1024,0
210,clean,0,14500,123,kyber1024,0
211,clean,0,14375,123,kyber1024,0
212,clean,0,14333,123,kyber1024,0
213,clean,0,14334,123,kyber1024,0
214,clean,0,14333,123,kyber1024,0
215,clean,0,14292,123,kyber1024,0
216,clean,0,14333,123,kyber1024,0
217,clean,0,14458,123,kyber1024,0
218,clean,0,14417,123,kyber1024,0
219,clean,0,14292,123,kyber1024,0
220,clean,0,14416,123,kyber1024,0
221,clean,0,14417,123,kyber1024,0
222,clean,0,14541,123,kyber1024,0
223,clean,0,14416,123,kyber1024,0
224,clean,0,14375,123,kyber1024,0
225,clean,0,14292,123,kyber1024,0
