class	flips	kem	trials	mean_ns	std_ns	median_ns	min_ns	max_ns
clean	0	kyber1024	20000	12756.37735	2045.7079357046196	12417.0	12250	138792
flipped	4	kyber1024	20000	12786.79635	3064.6288076964756	12417.0	12250	257916
